id,title,publisher,date,kind,url,takeaway,caveat,scope,access,document_url,reviewed
E02,Updated developer productivity study,METR,2026-02-24,Study update,https://metr.org/blog/2026-02-24-uplift-update/,"Point estimates suggest faster work: returning developers −18% time, new recruits −4%; both confidence intervals include no effect.",Selection effects and concurrent-agent time measurement weaken the estimates. This is not a clean temporal trend against the earlier trial.,Delivery evidence,Public text,,2026-09-05
E03,The Effects of Generative AI on High-Skilled Work: Evidence from Three Field Experiments with Software Developers,Cui and colleagues / Management Science,2026-02-27,Randomized study,https://pubsonline.informs.org/doi/10.1287/mnsc.2025.00535,"Across 4,867 developers, the pooled estimate was 26.08% more completed tasks, with standard error 10.3 percentage points.","Coding-assistant field experiments, not QE-specific labor savings. Public author PDF is the February 2025 working paper; publication followed in 2026.",Delivery evidence,Publisher abstract + open author paper,https://economics.mit.edu/sites/default/files/inline-files/draft_copilot_experiments.pdf,2026-09-05
E04,Automated Unit Test Improvement using Large Language Models at Meta,Alshahwan and colleagues / FSE 2024,2024-02-14,Case study,https://arxiv.org/abs/2402.09171,"TestGen-LLM improves existing tests using build, reliability and coverage filters before developer review.",Single-company evaluation. Generated tests and test-a-thon recommendations use different denominators; acceptance does not establish defect reduction.,AI for QE,Public text,https://arxiv.org/pdf/2402.09171,2026-09-05
E05,LLM-powered bug catchers: Meta ACH,Meta Engineering,2025-02-05,Case study,https://engineering.fb.com/2025/02/05/security/revolutionizing-software-testing-llm-powered-bug-catchers-meta-ach/,Uses mutation-guided generation: candidate tests must detect a modeled fault while passing the original code.,Tests target selected fault concerns; effectiveness depends on mutation relevance and human review. Company-authored implementation report.,AI for QE,Public text,,2026-09-05
E06,LLM-Based Automated Diagnosis Of Integration Test Failures At Google,Ziftci and colleagues / Google,2026-04-13,Case study,https://arxiv.org/abs/2604.12108,"Reports 90.14% diagnosis accuracy on 71 manually evaluated failures and deployment on 52,635 distinct failing tests.",The small reviewed accuracy sample is different from the deployment population. Feedback usefulness is not diagnostic accuracy.,AI for QE,Public text,https://arxiv.org/pdf/2604.12108,2026-09-05
E07,FlakyGuard: Automatically Fixing Flaky Tests at Industry Scale,Li and colleagues / UT Austin and Uber,2025-11-18,Case study,https://arxiv.org/abs/2511.14002,Uses dynamic call-graph context and analysis to repair flaky tests in a Go monorepo.,Six-month enterprise case. Reported repair and acceptance percentages use different populations; weak fixes can change test semantics.,AI for QE,Public text,https://arxiv.org/pdf/2511.14002,2026-09-05
A01,Artificial Intelligence Risk Management Framework: Generative AI Profile,NIST,2024-07-26,Framework,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,Provides a cross-sector structure for identifying and managing generative-AI risks throughout the lifecycle.,Voluntary guidance; translate it into system-specific controls and testable requirements.,QE for AI,Public text,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,2026-09-05
A02,"AI RMF Core: Govern, Map, Measure, Manage",NIST,2023-01-26,Framework,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,"Connects lifecycle risk management with representative evaluation, documented uncertainty and ongoing monitoring.",RMF 1.0 remains the referenced framework; NIST says it is being revised. It is not a product certification.,QE for AI,Public text,,2026-09-05
A03,Top 10 for Agentic Applications 2026,OWASP GenAI Security Project,2025-12-09,Framework,https://genai.owasp.org/2025/12/09/owasp-top-10-for-agentic-applications-the-benchmark-for-agentic-security-in-the-age-of-autonomous-ai/,"Threat guidance extends evaluation to agent goals, tool use, identity, supply chains and memory.","Community risk taxonomy; use it to design scenarios, not to infer measured incident rates for a bank.",QE for AI,Public text,https://genai.owasp.org/download/52117/?tmstv=1765059207,2026-09-05
A04,OWASP GenAI LLM Top 10 2026,OWASP GenAI Security Project,2026-08-03,Framework,https://genai.owasp.org/resource/owasp-genai-llm-top-10-2026/,The 2026 guide updates LLM application risks and explicitly pairs model-component risks with agentic-system risks.,Resource page dated August 3; release announcement September 1 has a September 2 dateline. Downloaded PDF retains date placeholders. Reviewed as the linked 2026 edition.,QE for AI,Public text,https://genai.owasp.org/download/56857/?tmstv=1785822482,2026-09-05
A05,Agent Control Standard (ACS),OWASP GenAI Security Project,2026-09-01,Framework,https://genai.owasp.org/resource/agent-control-standard-acs/,Introduces common hooks for runtime policy enforcement and observability across agent frameworks.,Newly donated open standard; evaluate implementation coverage and integration maturity before relying on portability.,QE for AI,Public text,,2026-09-05
R01,"Generative and agentic AI: technology, cyber security and operational resilience",OSFI,2026-07,Supervisory guidance,https://www.osfi-bsif.gc.ca/en/risks/technology-cyber-risk-management/technology-risk-bulletin/generative-agentic-artificial-intelligence-implications-technology-cyber-security-operational,"Discusses scoped agent identities, tool restrictions, testing, traceability, approval and fallback practices for financial institutions.",Technology Risk Bulletin offers sound practices that complement existing guidelines; it is not a new standalone binding AI rule.,Financial services,Public text,,2026-09-05
R02,Guideline E-23: Model Risk Management (2027),OSFI,2025-09-11,Supervisory guidance,https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/guideline-e-23-model-risk-management-2027,Risk-based model governance and lifecycle expectations provide a planning reference for applicable AI systems.,"Effective May 1, 2027. Assess applicability under institutional model policy; do not label every coding assistant a regulated model by default.",Financial services,Public text,,2026-09-05
T01,Tosca Agentic AI documentation,Tricentis,Living documentation,Product documentation,https://docs.tricentis.com/tosca-2026.1/en-us/content/agentic_ai/landing_page.htm,"Documents natural-language support for finding test assets, explaining results and generating test cases.","Capability description for Tosca 2026.1; not an independent assessment of accuracy, enterprise fit or return.",Technology landscape,Public text,,2026-09-05
T02,Deterministic Visual AI tests,Applitools,Living documentation,Product documentation,https://applitools.com/deterministic-visual-ai-tests/,Describes visual comparison against approved baselines within existing testing frameworks.,"Vendor product description. Validate false alerts, missed changes, dynamic content and baseline governance on your applications.",Technology landscape,Public text,,2026-09-05
T03,Evaluation concepts and workflows,LangSmith / LangChain,Living documentation,Product documentation,https://docs.langchain.com/langsmith/evaluation,"Documents offline datasets, evaluators and online feedback loops for AI applications.",Tool documentation does not establish evaluator validity. Calibrate judges and human labels to the target task.,Technology landscape,Public text,,2026-09-05
T04,About GitHub Copilot code review,GitHub,Living documentation,Product documentation,https://docs.github.com/en/copilot/concepts/agents/code-review,Documents AI review suggestions within pull requests and editors.,Review suggestions supplement reviewer judgment; a product capability is not evidence of prevented security defects.,Technology landscape,Public text,,2026-09-05
T05,Red teaming for AI agents,Promptfoo,Living documentation,Product documentation,https://www.promptfoo.dev/docs/red-team/agents/,"Documents adversarial testing of agent tool use, access boundaries and context.",A red-team suite samples a threat model. Passing it does not prove that an agent is secure.,Technology landscape,Public text,,2026-09-05
T06,View and compare evaluation results,Microsoft Foundry,Living documentation,Product documentation,https://learn.microsoft.com/en-us/azure/foundry/how-to/evaluate-results,"Documents run-level and row-level evaluation comparison, including quality and operational metrics.","Platform evaluation requires representative datasets, appropriate metrics and deployment-specific thresholds.",Technology landscape,Public text,,2026-09-05
S01,Developer Survey 2025: AI,Stack Overflow,2025,Survey,https://survey.stackoverflow.co/2025/ai,Reported trust in AI accuracy remains mixed; distrust exceeds trust in the survey responses.,Self-selected developer survey. Overall sample size and AI-question response counts are different denominators.,Industry,Public text,,2026-09-05
E08,Secure code more than three times faster with Copilot Autofix,GitHub,2024-08-14,Vendor study,https://github.blog/news-insights/product-news/secure-code-more-than-three-times-faster-with-copilot-autofix/,Reports median PR-alert remediation time of 28 minutes with Autofix versus 1.5 hours manually.,Vendor workflow observation; cohort size and causal assignment not disclosed here. Not a bank savings forecast. Page updated January 2025.,AppSec,Public text,,2026-09-06
E09,ZeroFalse: Improving Precision in Static Analysis with LLMs,Iranmanesh et al.,2025-10-02,Research paper,https://arxiv.org/abs/2510.02534,Uses structured static-analysis traces and CWE context to adjudicate findings; evaluates ten models on Java benchmark and real-world cases.,Preprint and model-dependent benchmark evidence. High F1 does not justify unsupervised dismissal; local recall and dismissed-finding audits remain necessary.,AppSec,Public paper,https://arxiv.org/pdf/2510.02534,2026-09-06
